Gene,Bacteria,Present,Category
HopAE1,G.quercinecans FRB124,0,Effector
HopAJ2,G.quercinecans FRB124,1,Effector
HopAB1,G.quercinecans FRB124,0,Effector
HopE1,G.quercinecans FRB124,0,Effector
HopAW1,G.quercinecans FRB124,0,Effector
HopP1,G.quercinecans FRB124,0,Effector
AvrBs2,G.quercinecans FRB124,0,Effector
AvrA,G.quercinecans FRB124,0,Effector
AvrRxv,G.quercinecans FRB124,0,Effector
AvrRpm1,G.quercinecans FRB124,0,Effector
AvrXccE1,G.quercinecans FRB124,0,Effector
AvrRpt2,G.quercinecans FRB124,0,Effector
AvrBs3,G.quercinecans FRB124,0,Effector
AvrE1,G.quercinecans FRB124,0,Effector
AvrB3,G.quercinecans FRB124,0,Effector
AvrXccB,G.quercinecans FRB124,0,Effector
DspA/E,G.quercinecans FRB124,0,Effector
DspF,G.quercinecans FRB124,0,Effector
Rsc3369,G.quercinecans FRB124,0,Effector
MxiE,G.quercinecans FRB124,1,Effector
ExoU,G.quercinecans FRB124,0,Effector
T2SS,G.quercinecans FRB124,1,T2SS
T3SS,G.quercinecans FRB124,0,T3SS
T4SS,G.quercinecans FRB124,0,T4SS
T6SS,G.quercinecans FRB124,1,T6SS
Flagella,G.quercinecans FRB124,2,Flagella
Pili,G.quercinecans FRB124,1,Pili
Pectate disaccharide-lyase,G.quercinecans FRB97,0,PCWDE
Pectate lyase,G.quercinecans FRB97,0,PCWDE
Rhanmogalacturonan endolyase,G.quercinecans FRB97,1,PCWDE
Pectin lyase,G.quercinecans FRB97,0,PCWDE
Cellulase,G.quercinecans FRB97,1,PCWDE
beta-xylanase,G.quercinecans FRB97,0,PCWDE
Arabinosidase,G.quercinecans FRB97,0,PCWDE
beta-galactosidase,G.quercinecans FRB97,0,PCWDE
beta-xylosidase,G.quercinecans FRB97,0,PCWDE
beta-glucosidase,G.quercinecans FRB97,1,PCWDE
alpha-galactosidase,G.quercinecans FRB97,0,PCWDE
Galactanase,G.quercinecans FRB97,1,PCWDE
Polyglacturonase,G.quercinecans FRB97,1,PCWDE
Avicelase,G.quercinecans FRB97,0,PCWDE
alpha-L-arabinosidase,G.quercinecans FRB97,0,PCWDE
alpha-glucuronidase,G.quercinecans FRB97,0,PCWDE
Harpin(HrpN),G.quercinecans FRB97,0,Harpin
Harpin(HrpW),G.quercinecans FRB97,0,Harpin
Harpin(HrpA2),G.quercinecans FRB97,0,Harpin
Harpin(HrpZ1),G.quercinecans FRB97,0,Harpin
Harpin(HrpK1),G.quercinecans FRB97,0,Harpin
Harpin(PopW),G.quercinecans FRB97,0,Harpin
Harpin(HrcR),G.quercinecans FRB97,0,Harpin
Harpin(HopAK1),G.quercinecans FRB97,0,Harpin
HopAN1,G.quercinecans FRB97,1,Effector
HopAC1,G.quercinecans FRB97,0,Effector
HopAG1,G.quercinecans FRB97,0,Effector
HopAH1,G.quercinecans FRB97,0,Effector
HopAI1,G.quercinecans FRB97,0,Effector
HopJ1,G.quercinecans FRB97,0,Effector
HopAA1,G.quercinecans FRB97,0,Effector
HopM1,G.quercinecans FRB97,0,Effector
HopX1,G.quercinecans FRB97,0,Effector
HopQ1,G.quercinecans FRB97,0,Effector
HopF2,G.quercinecans FRB97,0,Effector
HopV1,G.quercinecans FRB97,0,Effector
HopR1,G.quercinecans FRB97,0,Effector
HopZ3,G.quercinecans FRB97,0,Effector
HopH1,G.quercinecans FRB97,0,Effector
HopL1,G.quercinecans FRB97,0,Effector
HopAH2,G.quercinecans FRB97,0,Effector
